"street_id","street_status","dir","street_name","suffix","post_dir","name_type","start_date"
"2533","retired","S","Big Sky","LANE",,"HISTORIC","2000-01-01T00:00:00.000"
"226","current","E","Bill Mallory","BOULEVARD",,"STREET","2000-01-01T00:00:00.000"
"227","current","S","Birch","LANE",,"STREET","2000-01-01T00:00:00.000"
"228","current","S","Birch","STREET",,"STREET","2000-01-01T00:00:00.000"
"2538","retired","N","Birdie Galyan","ROAD","N","HISTORIC","2001-01-01T00:00:00.000"
"2539","retired","N","Birdie Galyan","ROAD","S","HISTORIC","2001-01-01T00:00:00.000"
"231","current","W","Biscayne","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"232","current","N","Bittersweet","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"234","current","W","Blackfoot","COURT",,"STREET","2000-01-01T00:00:00.000"
"235","current","N","Blackfoot","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"236","current","W","Blackfoot","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"2530","retired","W","Blackford","COURT",,"HISTORIC","2001-01-01T00:00:00.000"
"233","current","N","Black Oak","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"237","current","E","Blackstone","COURT",,"STREET","2000-01-01T00:00:00.000"
"238","retired","S","Blackwell Church","ROAD",,"HISTORIC","2001-01-01T00:00:00.000"
"2669","current","S","Blaikelee","COURT",,"STREET","2004-05-19T00:00:00.000"
"239","current","N","Blair","AVENUE",,"STREET","2000-01-01T00:00:00.000"
"4500","corrected","S","B-Line","TRAIL",,"STREET","2010-06-15T00:00:00.000"
"4499","current",,"B-Line Trail",,,"STREET","2010-06-15T00:00:00.000"
"2510","current","N","Bliss","COURT",,"STREET","2000-01-01T00:00:00.000"
"240","current","W","Bloomfield","ROAD",,"STREET","2000-01-01T00:00:00.000"
"5081","current",,"Bloomington Rail Trail",,,"STREET","2015-01-05T00:00:00.000"
"241","current","W","Blue Bell","COURT",,"STREET","2000-01-01T00:00:00.000"
"249","current","S","Bluebird","COURT",,"STREET","2000-01-01T00:00:00.000"
"250","current","E","Bluebird","LANE",,"STREET","2000-01-01T00:00:00.000"
"243","current","S","Bluebird Close",,,"STREET","2000-01-01T00:00:00.000"
"2697","current","S","Bluegill","RIDGE",,"STREET","2004-08-02T00:00:00.000"
"3621","current","N","Blue Heron","DRIVE",,"STREET","2006-06-30T00:00:00.000"
"244","current","N","Blue Ridge","COURT",,"STREET","2000-01-01T00:00:00.000"
"246","current","N","Blue Ridge","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"245","current","E","Blue Ridge","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"247","current","N","Blue Slopes","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"248","current","N","Blue Spruce","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"251","current","E","Bluff","COURT",,"STREET","2000-01-01T00:00:00.000"
"5640","current","S","Boardwalk","CIRCLE",,"STREET","2018-09-07T00:00:00.000"
"5384","current","E","Boathouse","LANE",,"STREET","2016-03-07T00:00:00.000"
"2521","current","N","Bobbie","COURT",,"STREET","2000-01-01T00:00:00.000"
"4722","current","S","Bobcat","BEND",,"STREET","2012-03-07T00:00:00.000"
"3358","current","W","Boheny","DRIVE",,"STREET","2005-12-08T00:00:00.000"
"252","current","W","Bolin","LANE",,"STREET","2000-01-01T00:00:00.000"
"253","current","E","Boltinghouse","ROAD",,"STREET","2000-01-01T00:00:00.000"
"254","current","S","Boruff","ROAD",,"STREET","2000-01-01T00:00:00.000"
"255","current","S","Bosell","COURT",,"STREET","2000-01-01T00:00:00.000"
"595","current","E","Boshears","ROAD",,"STREET","2011-12-01T00:00:00.000"
"256","current","E","Boston","ROAD",,"STREET","2000-01-01T00:00:00.000"
"257","current","N","Bottom","ROAD",,"STREET","2000-01-01T00:00:00.000"
"258","current","S","Boulder","COURT",,"STREET","2000-01-01T00:00:00.000"
"259","current","N","Bowman","ROAD",,"STREET","2000-01-01T00:00:00.000"
"2594","current","N","Boxwood","COURT",,"STREET","2003-04-09T00:00:00.000"
"260","current","E","Bradford","COURT",,"STREET","2000-01-01T00:00:00.000"
"261","current","E","Bradley","STREET",,"STREET","2000-01-01T00:00:00.000"
"262","current","S","Bradshire","COURT",,"STREET","2000-01-01T00:00:00.000"
"263","current","E","Bradshire","STREET",,"STREET","2000-01-01T00:00:00.000"
"4361","current","W","Brady","COURT",,"STREET","2009-03-18T00:00:00.000"
"264","current","E","Braeside","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"265","current","N","Braksway","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"266","current","N","Bramble","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"268","current","S","Brandon","COURT",,"STREET","2000-01-01T00:00:00.000"
"5774","current","E","Brandy","BOULEVARD",,"STREET","2020-02-11T00:00:00.000"
"269","current",,"Braxton","ROAD",,"STREET","2000-01-01T00:00:00.000"
"2678","current","W","Breaburn","COURT",,"STREET","2004-08-02T00:00:00.000"
"5778","current","S","Breaking A","WAY",,"STREET","2020-09-29T00:00:00.000"
"270","current","E","Breckenmore","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"5781","current","N","Breckenridge","ROAD",,"STREET","2020-12-07T00:00:00.000"
"271","current","S","Breeden","ROAD",,"STREET","2000-01-01T00:00:00.000"
"272","current","W","Breezewood","COURT",,"STREET","2000-01-01T00:00:00.000"
"273","current","E","Brenda","LANE",,"STREET","2000-01-01T00:00:00.000"
"274","current","S","Brenda","LANE",,"STREET","2000-01-01T00:00:00.000"
"2555","current","W","Brennick","COURT",,"STREET","2000-01-01T00:00:00.000"
"2575","current","E","Bressingham","WAY",,"STREET","2000-01-01T00:00:00.000"
"275","current","W","Brewster","COURT",,"STREET","2000-01-01T00:00:00.000"
"276","current","W","Briarcliff","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"277","current","W","Briar Gate","COURT",,"STREET","2000-01-01T00:00:00.000"
"278","current","N","Briar Gate","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"279","current","W","Briar Gate","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"280","current","E","Briarwood","COURT",,"STREET","2000-01-01T00:00:00.000"
"282","current","E","Briarwood","LANE",,"STREET","2000-01-01T00:00:00.000"
"2621","current","E","Bricklin","COURT",,"STREET","2003-12-15T00:00:00.000"
"283","current","E","Bridgestone","DRIVE",,"STREET","2000-01-01T00:00:00.000"
"284","current","E","Bridgewater","COURT",,"STREET","2000-01-01T00:00:00.000"
"4001","current","S","Bridle Path","TRAIL",,"STREET","2007-05-03T00:00:00.000"
"3242","current","S","Bridwell","COURT",,"STREET","2005-11-01T00:00:00.000"
"3482","current","S","Brigadier","BOULEVARD",,"STREET","2006-04-10T00:00:00.000"
