"alm_time","alm_date","inci_no","station","occup_id","number","st_prefix","street","st_type","st_suffix","xstreet","xst_prefix","xst_type","xst_suffix","city","state","zip","latitude","longitude","mutl_aid","shift","alarms","alm_type","inci_type","descript"
"13:42:37","2016-02-24T00:00:00.000","16-0055034","14","01373","194",,"BLUE HILLS","AV",,,,,,"Hartford","CT","06112","41.789462","-72.698515","N","B","1","1","118","Trash or rubbish fire, contained"
"17:31:20","2016-02-29T00:00:00.000","16-0060055","15","40482","45",,"WEBSTER","ST",,,,,,"Hartford","CT","06114","41.744594","-72.683282","N","C","1","1","113","Cooking fire, confined to container"
"10:38:07","2016-03-02T00:00:00.000","16-0062021","07","07384","485",,"EDGEWOOD","ST",,,,,,"Hartford","CT","06112","41.787279","-72.684364","N","A","1","1","111","Building fire"
"17:11:08","2016-03-02T00:00:00.000","16-0062051","14","05486","200",,"BLOOMFIELD","AV",,,,,,"Hartford","CT","06105","41.791334","-72.715404","N","A","1","1","117","Commercial Compactor fire, confined to rubbish"
"16:55:22","2016-03-02T00:00:00.000","16-0062049","14","01835","73",,"WESTBOURNE PKWY",,,,,,,"Hartford","CT","06112","41.786823","-72.702215","N","A","1","1","111","Building fire"
"20:41:36","2016-03-04T00:00:00.000","16-0064066","05","13966","57",,"EDGEWOOD","ST",,,,,,"Hartford","CT","06112","41.778991","-72.69178","N","C","1","1","111","Building fire"
"04:50:18","2017-07-28T00:00:00.000","17-0209008","11","23309","11",,"HEATH","ST",,,,,,"Hartford","CT","06106","41.75655","-72.710743","N","A","1","1","111","Building fire"
"05:29:02","2016-03-05T00:00:00.000","16-0065015","14","06028","230",,"VINE","ST",,,,,,"Hartford","CT","06112","41.786836","-72.688355","N","C","1","1","111","Building fire"
"20:54:40","2016-03-05T00:00:00.000","16-0065063","01","24012","136",,"SEYMOUR","ST",,,,,,"Hartford","CT","06106","41.755624","-72.680963","N","D","1","1","111","Building fire"
"20:53:18","2016-03-06T00:00:00.000","16-0066061","05","11163","21",,"WILLARD","ST",,,,,,"Hartford","CT","06105","41.771406","-72.695165","N","A","1","1","112","Fires in structure other than in a building"
"19:56:15","2016-03-05T00:00:00.000","16-0065059","08","27636","88",,"GLENDALE","AV",,,,,,"Hartford","CT","06106","41.750743","-72.697202","N","D","1","1","111","Building fire"
"14:57:10","2016-03-06T00:00:00.000","16-0066036","05","11076","12",,"WILLARD","ST",,,,,,"Hartford","CT","06105","41.770961","-72.695313","N","A","1","3","118","Trash or rubbish fire, contained"
"23:17:40","2016-03-06T00:00:00.000","16-0066068","10","30107","464",,"WETHERSFIELD","AV",,,,,,"Hartford","CT","06114","41.742833","-72.673267","N","A","1","1","111","Building fire"
"11:03:48","2016-03-08T00:00:00.000","16-0068029","09","50317","705",,"NEW BRITAIN","AV",,,,,,"Hartford","CT","06106","41.733167","-72.705433","N","C","1","2","111","Building fire"
"16:28:46","2016-03-09T00:00:00.000","16-0069034","16","01619","356",,"CORNWALL","ST",,,,,,"Hartford","CT","06112","41.799186","-72.698286","N","D","1","1","111","Building fire"
"02:28:07","2016-03-10T00:00:00.000","16-0070005",,"00000","140",,"KA","NE",,,,,,"West Hartford","CT","00000","0","0","3","D","1","6","111","Building fire"
"14:11:47","2017-07-25T00:00:00.000","17-0206037","11","22113","76",,"HEATH","ST",,,,,,"Hartford","CT","06106","41.75684","-72.710908","N","C","1","1","111","Building fire"
"12:54:35","2016-03-11T00:00:00.000","16-0071022","15","28137","194",,"BONNER","ST",,,,,,"Hartford","CT","06106","41.748526","-72.702984","N","B","1","1","111","Building fire"
"07:36:56","2018-04-22T00:00:00.000","18-0112021","05","11575","31",,"GILLETT","ST",,,,,,"Hartford","CT","06105","41.768667","-72.700225","N","A","1","1","111","Building fire"
"13:36:11","2018-05-17T00:00:00.000","18-0137046","05","11261","57",,"HUNTINGTON","ST",,,,,,"Hartford","CT","06105","41.770342","-72.691837","N","C","1","1","113","Cooking fire, confined to container"
"11:34:06","2016-03-12T00:00:00.000","16-0072031","07","06656","22",,"ELMER","ST",,,,,,"Hartford","CT","06120","41.785576","-72.675606","N","C","1","1","118","Trash or rubbish fire, contained"
"14:17:53","2016-03-19T00:00:00.000","16-0079034","02","12790","137",,"IRVING","ST",,,,,,"Hartford","CT","06112","41.780131","-72.686608","N","B","1","1","118","Trash or rubbish fire, contained"
"09:20:10","2016-03-20T00:00:00.000","16-0080023","02","32109","75",,"PRATT","ST",,,,,,"Hartford","CT","06103","41.767451","-72.675042","N","C","1","1","113","Cooking fire, confined to container"
"16:01:12","2016-03-22T00:00:00.000","16-0082046","02","18925","98",,"EDWARDS","ST",,,,,,"Hartford","CT","06120","41.774965","-72.681539","N","A","1","1","111","Building fire"
"01:59:51","2016-03-22T00:00:00.000","16-0082005","14","00000",,,"ALBANY","AV",,"MAGNOLIA",,"ST",,"Hartford","CT","06112","41.7785","-72.6884","N","D","1","1","111","Building fire"
"14:33:05","2018-02-07T00:00:00.000","18-0038039","05","49649","238",,"SIGOURNEY","ST",,,,,,"Hartford","CT","06105","41.773743","-72.692729","N","D","1","1","111","Building fire"
