"month_reported","state","make","model","color","year","last_inspection_month","number_of_trips","multiple_tnps"
"2022-06","IL","Acura","Rdx","White","2019","2021-10","147","false"
"2022-06","IL","Honda","Pilot","Silver","2014","2022-02","133","false"
"2022-06","IL","Toyota","Sienna","Gray","2019","2022-03","0","false"
"2022-06","IL","Gmc","Acadia","White","2017","2022-05","49","false"
"2022-06","IL","Mazda","Cx-5","Gray","2019","2022-05","0","false"
"2022-06","IL","Nissan","Versa","White","2017","2021-11","71","false"
"2022-06","IL","Toyota","Camry Hybrid","Black","2015","2022-05","0","false"
"2022-06","IL","Kia","Rio","Black","2022","2022-04","0","true"
"2022-06","IL","Toyota","Highlander","Silver","2021","2022-04","216","true"
"2022-06","IL","Toyota","Camry","Black","2017","2022-03","0","true"
"2022-06","IL","Honda","Cr-V","Silver","2019","2022-06","27","false"
"2022-06","IL","Toyota","Camry","Black","2017","2022-06","33","false"
"2022-06","IL","Mercedes-Benz","C-Class","Black","2018","2021-11","0","false"
"2022-06","IL","Subaru","Impreza","White","2013","2021-12","180","true"
"2022-06","IL","Chrysler","Pacifica","Black","2017","2022-01","3","false"
"2022-06","IL","Acura","Mdx","Silver","2009","2022-05","34","false"
"2022-06","IL","Chevrolet","Equinox","Silver","2018","2021-10","38","false"
"2022-06","IL","Gmc","Acadia","Gray","2016","2022-04","0","false"
"2022-06","IL","Honda","Cr-V","Silver","2013","2021-07","50","false"
"2022-06","IL","Lexus","Es","Gold","2009","2022-06","34","false"
"2022-06","IL","Nissan","Rogue","White","2019","2021-12","39","true"
"2022-06","IL","Toyota","Camry","Silver","2009","2021-10","71","false"
"2022-06","IL","Kia","Optima","Silver","2019","2022-03","42","false"
"2022-06","IL","Nissan","Altima","Black","2016","2022-05","15","false"
"2022-06","IL","Nissan","Sentra","Silver","2019","2021-12","14","false"
"2022-06","IL","Hyundai","Tucson","White","2022","2021-11","140","false"
"2022-06","SC","Hyundai","Elantra","Silver","2019","2022-01","37","false"
"2022-06","IL","Dodge","Grand Caravan","Silver","2017","2021-09","12","false"
"2022-06","IL","Nissan","Murano","Beige","2010","2022-06","58","false"
"2022-06","IL","Mercury","Mariner","Silver","2010","2022-05","1","false"
"2022-06","IL","Subaru","Crosstrek","White","2016","2022-06","256","true"
"2022-06","IL","Buick","Encore","Black","2018","2022-04","0","false"
"2022-06","PA","Dodge","Journey","Silver","2015","2022-06","41","false"
"2022-06","MI","Kia","Forte","White","2021","2022-04","130","false"
