"date","week","month","year","railroad","region","loadings_plan","loadings_average"
"2017-05-17T00:00:00.000","20","5","2017","UP","Other","0","1"
"2017-05-17T00:00:00.000","20","5","2017","UP","Powder River Basin","16","15.1"
"2017-05-17T00:00:00.000","20","5","2017","UP","Uinta Basin","3.8","3"
"2017-05-24T00:00:00.000","21","5","2017","BNSF","Central Appalachia","0","0"
"2017-05-24T00:00:00.000","21","5","2017","BNSF","Illinois Basin","0","0"
"2017-05-24T00:00:00.000","21","5","2017","BNSF","Northern Appalachia","0","0"
"2017-05-24T00:00:00.000","21","5","2017","BNSF","Other","2","1.9"
"2017-05-24T00:00:00.000","21","5","2017","BNSF","Powder River Basin","38","34.9"
"2017-05-24T00:00:00.000","21","5","2017","BNSF","Southern Appalachia","0","0"
"2017-05-24T00:00:00.000","21","5","2017","BNSF","Uinta basin","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CN","Central Appalachia","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CN","Illinois Basin","225","165"
"2017-05-24T00:00:00.000","21","5","2017","CN","Northern Appalachia","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CN","Other","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CN","Powder River Basin","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CN","Southern Appalachia","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CN","Uinta basin","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CP","Central Appalachia","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CP","Illinois Basin","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CP","Northern Appalachia","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CP","Other","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CP","Powder River Basin","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CP","Southern Appalachia","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CP","Uinta basin","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CSX","Central Appalachia","7097","6085"
"2017-05-24T00:00:00.000","21","5","2017","CSX","Illinois Basin","3930","3572"
"2017-05-24T00:00:00.000","21","5","2017","CSX","Northern Appalachia","3466","3085"
"2017-05-24T00:00:00.000","21","5","2017","CSX","Powder River Basin","0","0"
"2017-05-24T00:00:00.000","21","5","2017","CSX","Southern Appalachia","1350","1350"
"2017-05-24T00:00:00.000","21","5","2017","CSX","Uinta basin","0","0"
"2017-05-24T00:00:00.000","21","5","2017","NS","Central Appalachia","7.3","7.1"
"2017-05-24T00:00:00.000","21","5","2017","NS","Illinois Basin","3.7","3"
"2017-05-24T00:00:00.000","21","5","2017","NS","Northern Appalachia","5.7","5.4"
"2017-05-24T00:00:00.000","21","5","2017","NS","Southern Appalachia","0","0"
"2017-05-24T00:00:00.000","21","5","2017","UP","Other","0","1.3"
"2017-05-24T00:00:00.000","21","5","2017","UP","Powder River Basin","16","14.9"
"2017-05-24T00:00:00.000","21","5","2017","UP","Uinta Basin","3.8","3.9"
"2017-05-31T00:00:00.000","22","5","2017","BNSF","Central Appalachia","0","0"
"2017-05-31T00:00:00.000","22","5","2017","BNSF","Illinois Basin","0","0"
"2017-05-31T00:00:00.000","22","5","2017","BNSF","Northern Appalachia","0","0"
"2017-05-31T00:00:00.000","22","5","2017","BNSF","Other","2","2.1"
"2017-05-31T00:00:00.000","22","5","2017","BNSF","Powder River Basin","38","37.7"
"2017-05-31T00:00:00.000","22","5","2017","BNSF","Southern Appalachia","0","0"
"2017-05-31T00:00:00.000","22","5","2017","BNSF","Uinta basin","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CN","Central Appalachia","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CN","Illinois Basin","225","185"
"2017-05-31T00:00:00.000","22","5","2017","CN","Northern Appalachia","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CN","Other","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CN","Powder River Basin","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CN","Southern Appalachia","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CN","Uinta basin","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CP","Central Appalachia","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CP","Illinois Basin","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CP","Northern Appalachia","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CP","Other","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CP","Powder River Basin","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CP","Southern Appalachia","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CP","Uinta basin","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CSX","Central Appalachia","7320","5968"
"2017-05-31T00:00:00.000","22","5","2017","CSX","Illinois Basin","3791","3247"
"2017-05-31T00:00:00.000","22","5","2017","CSX","Northern Appalachia","3975","3223"
"2017-05-31T00:00:00.000","22","5","2017","CSX","Powder River Basin","0","0"
"2017-05-31T00:00:00.000","22","5","2017","CSX","Southern Appalachia","1050","1050"
"2017-05-31T00:00:00.000","22","5","2017","CSX","Uinta basin","0","0"
"2017-05-31T00:00:00.000","22","5","2017","NS","Central Appalachia","7.9","7.6"
"2017-05-31T00:00:00.000","22","5","2017","NS","Illinois Basin","3.6","3.9"
"2017-05-31T00:00:00.000","22","5","2017","NS","Northern Appalachia","6.3","6.4"
"2017-05-31T00:00:00.000","22","5","2017","NS","Southern Appalachia","0","0"
"2017-05-31T00:00:00.000","22","5","2017","UP","Other","0","1.3"
"2017-05-31T00:00:00.000","22","5","2017","UP","Powder River Basin","16","16.6"
"2017-05-31T00:00:00.000","22","5","2017","UP","Uinta Basin","3.8","3.9"
"2017-06-07T00:00:00.000","23","6","2017","BNSF","Central Appalachia","0","0"
"2017-06-07T00:00:00.000","23","6","2017","BNSF","Illinois Basin","0","0"
"2017-06-07T00:00:00.000","23","6","2017","BNSF","Northern Appalachia","0","0"
"2017-06-07T00:00:00.000","23","6","2017","BNSF","Other","2","2"
"2017-06-07T00:00:00.000","23","6","2017","BNSF","Powder River Basin","38","37.3"
"2017-06-07T00:00:00.000","23","6","2017","BNSF","Southern Appalachia","0","0"
"2017-06-07T00:00:00.000","23","6","2017","BNSF","Uinta basin","0","0"
