"date","week","month","year","railroad","state","placed","filled","unfilledlte10days","unfilledgt10days","total","geocoded_column"
"2022-09-07T00:00:00.000","36","9","2022","CN","NM","0","0","0","0","0","POINT (-106.108388 34.421369)"
"2022-09-07T00:00:00.000","36","9","2022","NS","DE","0","0","0","0","0","POINT (-75.452394 38.994926)"
"2022-09-07T00:00:00.000","36","9","2022","NS","IN","0","0","0","0","0","POINT (-86.2818 39.919991)"
"2022-09-07T00:00:00.000","36","9","2022","CN","PA","0","0","0","0","0","POINT (-77.838886 40.896694)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","NM","0","4","0","0","0","POINT (-106.108388 34.421369)"
"2022-09-07T00:00:00.000","36","9","2022","UP","WA","21","1","10","0","10","POINT (-120.592492 47.411715)"
"2022-09-07T00:00:00.000","36","9","2022","NS","MO","20","12","8","0","8","POINT (-92.477244 38.3675)"
"2022-09-07T00:00:00.000","36","9","2022","UP","TX","84","17","0","84","84","POINT (-99.317341 31.447238)"
"2022-09-07T00:00:00.000","36","9","2022","CN","CA","0","0","0","0","0","POINT (-119.662127 37.211164)"
"2022-09-07T00:00:00.000","36","9","2022","CP","MO","0","0","0","0","0","POINT (-92.477244 38.3675)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","AL","0","2","0","0","0","POINT (-86.844516 32.756889)"
"2022-09-07T00:00:00.000","36","9","2022","CN","NV","0","0","0","0","0","POINT (-114.916992 39.283294)"
"2022-09-07T00:00:00.000","36","9","2022","UP","NH","0","0","0","0","0","POINT (-71.57139 43.680429)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","PA","0","0","0","0","0","POINT (-77.838886 40.896694)"
"2022-09-07T00:00:00.000","36","9","2022","UP","FL","0","0","0","0","0","POINT (-82.420978 28.260731)"
"2022-09-07T00:00:00.000","36","9","2022","NS","MT","0","0","0","0","0","POINT (-109.645127 47.033521)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","OR","0","0","0","0","0","POINT (-120.605279 43.940449)"
"2022-09-07T00:00:00.000","36","9","2022","UP","OR","23","2","5","13","18","POINT (-120.605279 43.940449)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","CA","0","9","2","0","2","POINT (-119.662127 37.211164)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","SC","0","0","0","0","0","POINT (-80.864614 33.878572)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","LA","0","0","0","0","0","POINT (-91.840238 30.921314)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","NH","0","0","0","0","0","POINT (-71.57139 43.680429)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","IA","2","89","30","56","86","POINT (-93.500061 42.074659)"
"2022-09-07T00:00:00.000","36","9","2022","CN","OK","0","0","0","0","0","POINT (-97.508297 35.583449)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","AL","0","0","0","0","0","POINT (-86.844516 32.756889)"
"2022-09-07T00:00:00.000","36","9","2022","UP","MO","62","0","20","27","47","POINT (-92.477244 38.3675)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","FL","0","0","0","0","0","POINT (-82.420978 28.260731)"
"2022-09-07T00:00:00.000","36","9","2022","UP","KY","0","0","0","0","0","POINT (-85.290484 37.526683)"
"2022-09-07T00:00:00.000","36","9","2022","UP","SD","0","0","0","0","0","POINT (-100.230491 44.43614)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","TX","0","16","6","3","9","POINT (-99.317341 31.447238)"
"2022-09-07T00:00:00.000","36","9","2022","UP","CO","28","0","10","10","20","POINT (-105.547832 38.998552)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","NJ","0","0","0","0","0","POINT (-74.655514 40.110253)"
"2022-09-07T00:00:00.000","36","9","2022","UP","IA","1606","145","470","732","1202","POINT (-93.500061 42.074659)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","ME","0","0","0","0","0","POINT (-69.06137 45.117911)"
"2022-09-07T00:00:00.000","36","9","2022","CN","OR","0","0","0","0","0","POINT (-120.605279 43.940449)"
"2022-09-07T00:00:00.000","36","9","2022","CN","GA","0","0","0","0","0","POINT (-83.426574 32.638481)"
"2022-09-07T00:00:00.000","36","9","2022","CN","SD","0","0","0","0","0","POINT (-100.230491 44.43614)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","OK","0","5","1","0","1","POINT (-97.508297 35.583449)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","VT","0","0","0","0","0","POINT (-72.662695 44.075252)"
"2022-09-07T00:00:00.000","36","9","2022","CP","FL","0","0","0","0","0","POINT (-82.420978 28.260731)"
"2022-09-07T00:00:00.000","36","9","2022","NS","AR","0","0","0","0","0","POINT (-92.439162 34.899825)"
"2022-09-07T00:00:00.000","36","9","2022","NS","VA","0","0","0","0","0","POINT (-78.666382 37.510861)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","ME","0","0","0","0","0","POINT (-69.06137 45.117911)"
"2022-09-07T00:00:00.000","36","9","2022","CN","MT","0","0","0","0","0","POINT (-109.645127 47.033521)"
"2022-09-07T00:00:00.000","36","9","2022","UP","GA","0","0","0","0","0","POINT (-83.426574 32.638481)"
"2022-09-07T00:00:00.000","36","9","2022","NS","TN","0","0","0","0","0","POINT (-86.343226 35.842998)"
"2022-09-07T00:00:00.000","36","9","2022","CN","UT","0","0","0","0","0","POINT (-111.678222 39.323779)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","KS","0","0","0","0","0","POINT (-98.38018 38.484729)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","AR","1","1","0","0","0","POINT (-92.439162 34.899825)"
"2022-09-07T00:00:00.000","36","9","2022","UP","WV","0","0","0","0","0","POINT (-80.613729 38.642579)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","DE","0","0","0","0","0","POINT (-75.452394 38.994926)"
"2022-09-07T00:00:00.000","36","9","2022","CN","WV","0","0","0","0","0","POINT (-80.613729 38.642579)"
"2022-09-07T00:00:00.000","36","9","2022","CP","MS","0","0","0","0","0","POINT (-89.65344 32.713378)"
"2022-09-07T00:00:00.000","36","9","2022","CN","IN","0","0","0","0","0","POINT (-86.2818 39.919991)"
"2022-09-07T00:00:00.000","36","9","2022","NS","ME","0","0","0","0","0","POINT (-69.06137 45.117911)"
"2022-09-07T00:00:00.000","36","9","2022","CN","MI","0","0","0","0","0","POINT (-85.730977 44.874798)"
"2022-09-07T00:00:00.000","36","9","2022","NS","SC","0","0","0","0","0","POINT (-80.864614 33.878572)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","NJ","0","0","0","0","0","POINT (-74.655514 40.110253)"
"2022-09-07T00:00:00.000","36","9","2022","CP","CT","0","0","0","0","0","POINT (-72.738288 41.575155)"
"2022-09-07T00:00:00.000","36","9","2022","UP","NE","1533","232","387","700","1087","POINT (-99.810595 41.527099)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","GA","0","0","0","0","0","POINT (-83.426574 32.638481)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","NV","0","0","0","0","0","POINT (-114.916992 39.283294)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","MO","1","21","1","3","4","POINT (-92.477244 38.3675)"
"2022-09-07T00:00:00.000","36","9","2022","UP","MI","0","0","0","0","0","POINT (-85.730977 44.874798)"
