"date","week","month","year","railroad","commodity","mph"
"2022-07-27T00:00:00.000","30","7","2022","BNSF","Crude Oil","26.3"
"2022-07-27T00:00:00.000","30","7","2022","BNSF","Coal","24.3"
"2022-07-27T00:00:00.000","30","7","2022","BNSF","System","25.5"
"2022-07-27T00:00:00.000","30","7","2022","NS","Grain","16.2"
"2022-07-27T00:00:00.000","30","7","2022","KCS","System","26.5"
"2022-07-27T00:00:00.000","30","7","2022","CP","Grain","25.9"
"2022-07-27T00:00:00.000","30","7","2022","CP","System","25.8"
"2022-07-27T00:00:00.000","30","7","2022","CSX","Automotive",
"2022-07-27T00:00:00.000","30","7","2022","NS","Manifest","15.8"
"2022-07-27T00:00:00.000","30","7","2022","CN","Manifest","23.4"
"2022-07-27T00:00:00.000","30","7","2022","CSX","Coal","19.9"
"2022-07-27T00:00:00.000","30","7","2022","CN","System","24.1"
"2022-07-27T00:00:00.000","30","7","2022","CSX","Crude Oil",
"2022-07-27T00:00:00.000","30","7","2022","UP","Grain","21.3"
"2022-07-27T00:00:00.000","30","7","2022","CN","Ethanol","25.4"
"2022-07-27T00:00:00.000","30","7","2022","UP","Intermodal","29.7"
"2022-07-27T00:00:00.000","30","7","2022","UP","Crude Oil","19.6"
"2022-07-27T00:00:00.000","30","7","2022","UP","Ethanol","21.3"
"2022-07-27T00:00:00.000","30","7","2022","CN","Grain","21.6"
"2022-07-27T00:00:00.000","30","7","2022","UP","Manifest","21.4"
"2022-07-27T00:00:00.000","30","7","2022","KCS","Crude Oil","29.3"
"2022-07-27T00:00:00.000","30","7","2022","UP","Automotive","25.1"
"2022-07-27T00:00:00.000","30","7","2022","CSX","Ethanol","21.6"
"2022-07-27T00:00:00.000","30","7","2022","UP","Coal","24.8"
"2022-07-27T00:00:00.000","30","7","2022","CN","Intermodal","29.3"
"2022-07-27T00:00:00.000","30","7","2022","CN","Other","24.2"
"2022-07-27T00:00:00.000","30","7","2022","CP","Ethanol","26.2"
"2022-07-27T00:00:00.000","30","7","2022","NS","Intermodal","24.6"
"2022-07-27T00:00:00.000","30","7","2022","NS","System","19"
"2022-07-27T00:00:00.000","30","7","2022","CSX","Intermodal","29"
"2022-07-27T00:00:00.000","30","7","2022","CSX","Manifest","19.9"
"2022-07-27T00:00:00.000","30","7","2022","CSX","Grain","20"
"2022-07-20T00:00:00.000","29","7","2022","NS","Coal","15.6"
"2022-07-20T00:00:00.000","29","7","2022","NS","Crude Oil","13.8"
"2022-07-20T00:00:00.000","29","7","2022","UP","Coal","24.9"
"2022-07-20T00:00:00.000","29","7","2022","KCS","Manifest","25.2"
"2022-07-20T00:00:00.000","29","7","2022","CSX","Automotive",
"2022-07-20T00:00:00.000","29","7","2022","NS","Grain","14.6"
"2022-07-20T00:00:00.000","29","7","2022","KCS","Automotive","20.4"
"2022-07-20T00:00:00.000","29","7","2022","NS","Intermodal","24.5"
"2022-07-20T00:00:00.000","29","7","2022","CSX","Crude Oil",
"2022-07-20T00:00:00.000","29","7","2022","BNSF","Coal","24.8"
"2022-07-20T00:00:00.000","29","7","2022","CP","System","25.8"
"2022-07-20T00:00:00.000","29","7","2022","CSX","Grain","20.2"
"2022-07-20T00:00:00.000","29","7","2022","CP","Intermodal","30.6"
"2022-07-20T00:00:00.000","29","7","2022","BNSF","Manifest","21.4"
"2022-07-20T00:00:00.000","29","7","2022","CN","Crude Oil","24.2"
"2022-07-20T00:00:00.000","29","7","2022","CN","Intermodal","28.7"
"2022-07-20T00:00:00.000","29","7","2022","BNSF","Grain","23.3"
"2022-07-20T00:00:00.000","29","7","2022","CP","Coal","25"
"2022-07-20T00:00:00.000","29","7","2022","CP","Manifest","24.6"
"2022-07-20T00:00:00.000","29","7","2022","CSX","Ethanol","22.9"
"2022-07-20T00:00:00.000","29","7","2022","CSX","Manifest","19.7"
"2022-07-20T00:00:00.000","29","7","2022","UP","Automotive","26"
"2022-07-20T00:00:00.000","29","7","2022","CSX","Coal","20.9"
"2022-07-20T00:00:00.000","29","7","2022","KCS","Coal","24.4"
"2022-07-20T00:00:00.000","29","7","2022","UP","Intermodal","29.2"
"2022-07-20T00:00:00.000","29","7","2022","NS","Ethanol","16.4"
"2022-07-20T00:00:00.000","29","7","2022","KCS","Intermodal","33.9"
"2022-07-20T00:00:00.000","29","7","2022","CSX","System","22.3"
"2022-07-20T00:00:00.000","29","7","2022","UP","Manifest","21.2"
"2022-07-20T00:00:00.000","29","7","2022","UP","System","23.7"
"2022-07-20T00:00:00.000","29","7","2022","BNSF","Ethanol","24.1"
"2022-07-20T00:00:00.000","29","7","2022","KCS","System","26.3"
"2022-07-20T00:00:00.000","29","7","2022","CP","Crude Oil","22.3"
"2022-07-20T00:00:00.000","29","7","2022","NS","Automotive","19.3"
"2022-07-20T00:00:00.000","29","7","2022","NS","Manifest","16.1"
"2022-07-20T00:00:00.000","29","7","2022","CP","Grain","25.8"
"2022-07-20T00:00:00.000","29","7","2022","CSX","Intermodal","29"
"2022-07-20T00:00:00.000","29","7","2022","KCS","Crude Oil","29.4"
"2022-07-20T00:00:00.000","29","7","2022","BNSF","Crude Oil","26.2"
"2022-07-20T00:00:00.000","29","7","2022","BNSF","System","25.2"
"2022-07-20T00:00:00.000","29","7","2022","CN","Other","23.5"
"2022-07-20T00:00:00.000","29","7","2022","CN","System","24"
"2022-07-20T00:00:00.000","29","7","2022","UP","Crude Oil","24.1"
"2022-07-20T00:00:00.000","29","7","2022","CN","Coal","22.8"
"2022-07-20T00:00:00.000","29","7","2022","CN","Grain","23.6"
"2022-07-20T00:00:00.000","29","7","2022","KCS","Ethanol",
"2022-07-20T00:00:00.000","29","7","2022","UP","Ethanol","19"
"2022-07-20T00:00:00.000","29","7","2022","BNSF","Automotive","26"
"2022-07-20T00:00:00.000","29","7","2022","KCS","Grain","24.9"
"2022-07-20T00:00:00.000","29","7","2022","BNSF","Intermodal","30.5"
"2022-07-20T00:00:00.000","29","7","2022","CP","Automotive","26.9"
"2022-07-20T00:00:00.000","29","7","2022","CN","Manifest","23.2"
"2022-07-20T00:00:00.000","29","7","2022","CN","Ethanol","24.3"
"2022-07-20T00:00:00.000","29","7","2022","UP","Grain","22.3"
"2022-07-20T00:00:00.000","29","7","2022","CP","Ethanol","25.7"
"2022-07-20T00:00:00.000","29","7","2022","NS","System","18.9"
"2022-07-13T00:00:00.000","28","7","2022","BNSF","Crude Oil","28.7"
"2022-07-13T00:00:00.000","28","7","2022","NS","Crude Oil","15.7"
"2022-07-13T00:00:00.000","28","7","2022","CSX","Crude Oil",
"2022-07-13T00:00:00.000","28","7","2022","KCS","System","26.7"
"2022-07-13T00:00:00.000","28","7","2022","KCS","Crude Oil","28.4"
"2022-07-13T00:00:00.000","28","7","2022","NS","System","18.9"
"2022-07-13T00:00:00.000","28","7","2022","NS","Grain","15.3"
"2022-07-13T00:00:00.000","28","7","2022","BNSF","Coal","25.4"
"2022-07-13T00:00:00.000","28","7","2022","CP","Manifest","23.9"
"2022-07-13T00:00:00.000","28","7","2022","UP","Automotive","27"
"2022-07-13T00:00:00.000","28","7","2022","NS","Coal","15.7"
"2022-07-13T00:00:00.000","28","7","2022","CN","Crude Oil",
"2022-07-13T00:00:00.000","28","7","2022","CP","Intermodal","29.8"
"2022-07-13T00:00:00.000","28","7","2022","CN","System","23.4"
"2022-07-13T00:00:00.000","28","7","2022","KCS","Intermodal","33.9"
"2022-07-13T00:00:00.000","28","7","2022","BNSF","Intermodal","30.7"
"2022-07-13T00:00:00.000","28","7","2022","KCS","Coal","25.1"
"2022-07-13T00:00:00.000","28","7","2022","CSX","Intermodal","29.2"
"2022-07-13T00:00:00.000","28","7","2022","KCS","Automotive","18.6"
"2022-07-13T00:00:00.000","28","7","2022","CSX","System","22.1"
"2022-07-13T00:00:00.000","28","7","2022","CSX","Automotive",
"2022-07-13T00:00:00.000","28","7","2022","CSX","Manifest","19.5"
"2022-07-13T00:00:00.000","28","7","2022","CSX","Grain","20.2"
"2022-07-13T00:00:00.000","28","7","2022","CSX","Coal","20.7"
"2022-07-13T00:00:00.000","28","7","2022","NS","Intermodal","24.2"
"2022-07-13T00:00:00.000","28","7","2022","CP","Coal","22.8"
"2022-07-13T00:00:00.000","28","7","2022","CP","Ethanol","25.5"
"2022-07-13T00:00:00.000","28","7","2022","CP","Grain","25.9"
"2022-07-13T00:00:00.000","28","7","2022","CN","Other","21.9"
"2022-07-13T00:00:00.000","28","7","2022","CP","Crude Oil","22.1"
"2022-07-13T00:00:00.000","28","7","2022","CN","Grain","24"
"2022-07-13T00:00:00.000","28","7","2022","CN","Coal","21.6"
"2022-07-13T00:00:00.000","28","7","2022","CN","Intermodal","27.9"
"2022-07-13T00:00:00.000","28","7","2022","CN","Manifest","23.1"
"2022-07-13T00:00:00.000","28","7","2022","BNSF","System","25.5"
"2022-07-13T00:00:00.000","28","7","2022","BNSF","Ethanol","22.8"
"2022-07-13T00:00:00.000","28","7","2022","BNSF","Grain","23.4"
"2022-07-13T00:00:00.000","28","7","2022","NS","Ethanol","13.8"
"2022-07-13T00:00:00.000","28","7","2022","NS","Automotive","18.7"
"2022-07-13T00:00:00.000","28","7","2022","CP","System","25.1"
"2022-07-13T00:00:00.000","28","7","2022","BNSF","Automotive","25.6"
"2022-07-13T00:00:00.000","28","7","2022","NS","Manifest","16.4"
"2022-07-13T00:00:00.000","28","7","2022","CN","Ethanol","22.4"
"2022-07-13T00:00:00.000","28","7","2022","CP","Automotive","20.9"
"2022-07-13T00:00:00.000","28","7","2022","UP","System","24.2"
"2022-07-13T00:00:00.000","28","7","2022","BNSF","Manifest","21.7"
"2022-07-13T00:00:00.000","28","7","2022","KCS","Ethanol",
"2022-07-13T00:00:00.000","28","7","2022","UP","Coal","25"
"2022-07-13T00:00:00.000","28","7","2022","UP","Crude Oil","25"
"2022-07-13T00:00:00.000","28","7","2022","CSX","Ethanol","23.4"
